time,Episodes,Reward
1653770744.963396,4,7.006096363067627
1653770757.0405033,18,6.428287029266357
1653770775.0785952,40,5.1675028800964355
1653770781.3722353,47,5.5040788650512695
1653770781.8308253,48,5.53814172744751
1653770794.1528468,62,5.41140079498291
1653770794.559615,63,5.39081335067749
1653770801.0809162,71,5.175055027008057
1653770806.8811288,77,5.275968551635742
1653770811.081797,82,5.355858325958252
1653770816.069264,89,5.337758541107178
1653770824.4043617,99,5.226319789886475
1653770828.338503,103,5.164242267608643
1653770831.351018,107,5.303817272186279
1653770844.287057,121,5.295042991638184
1653770849.7277083,128,5.311736583709717
1653770851.541492,130,5.332134246826172
1653770873.7772436,157,5.508717060089111
1653770876.0358005,160,5.4834747314453125
1653770877.884021,162,5.643529415130615
1653770878.6863344,164,5.712741374969482
1653770885.1341913,172,5.898378849029541
1653770901.186353,191,5.865955829620361
1653770910.2800593,203,5.883565425872803
1653770912.1459203,205,5.957301616668701
1653770931.4196637,229,5.744961738586426
1653770943.7413568,244,5.877781867980957
1653770945.1610699,245,5.8146443367004395
1653770956.088864,259,5.918241024017334
1653770966.2063117,271,5.953312397003174
1653770968.447034,274,5.972055912017822
1653770974.8406641,282,6.229617595672607
1653770977.0353034,285,6.115285873413086
1653770985.2410886,295,6.016312599182129
1653771002.3189056,316,6.01326847076416
1653771004.5851514,319,5.983701229095459
1653771006.8982656,322,6.215619087219238
1653771027.0806417,346,6.07203483581543
1653771036.2916355,358,6.340486526489258
1653771041.8199987,364,6.374843120574951
1653771042.6674368,366,6.424952983856201
1653771052.7386808,378,5.956295967102051
1653771059.0655088,386,5.979848384857178
1653771062.7549028,390,6.0617547035217285
1653771071.8285139,402,6.114651679992676
1653771073.629078,404,6.082781791687012
1653771082.2071173,415,5.999059200286865
1653771088.1972034,422,6.059576034545898
1653771099.1212802,436,6.006032466888428
1653771100.550474,437,5.931909561157227
1653771102.4407158,439,6.009773254394531
1653771107.4509015,446,5.886706352233887
1653771119.8780973,461,5.752626419067383
1653771123.6270437,465,5.736982345581055
1653771131.89835,475,5.660826683044434
1653771136.1522596,480,5.741970062255859
1653771136.557989,481,5.7028303146362305
1653771141.0605748,487,5.794488430023193
1653771159.9224238,510,6.101708889007568
1653771161.720672,512,6.129500389099121
1653771162.1637006,513,6.093020915985107
1653771163.5522916,514,6.05861234664917
1653771165.8756704,517,6.090469837188721
1653771178.7220771,533,6.0168633460998535
1653771181.0515523,536,6.110239028930664
1653771182.8957694,538,6.099301815032959
1653771184.7084115,540,6.075273036956787
1653771193.8268445,552,6.224448204040527
