time,Episodes,Villages taken
1653875871.9433286,3047,5.0
1653875933.6612637,3083,3.0
1653875935.8697662,3084,4.0
1653875967.8910306,3103,5.0
1653875969.987175,3104,4.0
1653875971.4134507,3105,4.0
1653875989.0416973,3115,4.0
1653875995.759554,3119,4.0
1653875997.027801,3120,5.0
1653875999.0751433,3121,4.0
1653876007.8645394,3126,4.0
1653876011.2133944,3128,4.0
1653876039.8499684,3145,4.0
1653876087.4044075,3173,3.0
1653876096.3552155,3178,4.0
1653876120.6335967,3192,4.0
1653876132.737021,3199,4.0
1653876140.6791525,3204,4.0
1653876162.7647154,3217,3.0
1653876168.2371445,3220,5.0
1653876171.598447,3222,4.0
1653876183.7652788,3229,3.0
1653876203.8682554,3241,4.0
1653876245.6862712,3265,4.0
1653876250.2799435,3268,4.0
1653876316.0455136,3306,3.0
1653876376.3716822,3340,3.0
1653876403.8251865,3356,3.0
1653876435.4391022,3374,3.0
1653876444.4232574,3379,3.0
1653876453.5884461,3384,3.0
1653876454.8778763,3385,3.0
1653876469.4223754,3393,3.0
1653876488.5429573,3404,5.0
1653876512.1787515,3418,5.0
1653876526.477332,3426,4.0
1653876539.9929512,3434,4.0
1653876548.8875563,3439,3.0
1653876586.6715176,3461,4.0
1653876598.8237724,3468,3.0
1653876624.339616,3483,3.0
1653876625.5594265,3484,3.0
1653876627.6440454,3485,5.0
1653876637.5475469,3491,4.0
1653876640.8722396,3493,4.0
1653876652.9309444,3500,5.0
1653876697.0824924,3526,4.0
1653876727.972756,3544,4.0
1653876738.1885877,3550,4.0
1653876765.7308013,3566,4.0
1653876771.1990075,3569,3.0
1653876783.4351916,3576,3.0
1653876803.2173972,3588,4.0
1653876824.066745,3600,4.0
1653876846.2725432,3613,3.0
1653876847.4786117,3614,4.0
1653876851.6527815,3616,5.0
1653876874.9394438,3630,5.0
1653876915.648814,3654,3.0
1653876921.0288355,3657,4.0
1653876924.3484142,3659,4.0
1653876927.6589806,3661,4.0
1653876933.0848072,3664,4.0
1653876939.7505977,3668,3.0
1653876945.1531644,3671,3.0
1653876977.3303506,3690,4.0
1653876994.094518,3700,4.0
1653877014.8812716,3712,3.0
1653877023.6483915,3717,3.0
1653877071.8211095,3745,6.0
1653877073.8861537,3746,4.0
1653877077.167586,3748,3.0
1653877085.1668553,3753,4.0
1653877087.277536,3754,5.0
1653877099.3829722,3761,3.0
1653877102.6915517,3763,4.0
1653877135.0505748,3782,5.0
1653877137.10782,3783,3.0
1653877143.8051565,3787,5.0
1653877149.2223957,3790,3.0
1653877188.6874323,3813,3.0
1653877206.3381066,3823,4.0
1653877248.5965867,3848,3.0
1653877252.89687,3850,3.0
1653877269.697521,3860,3.0
1653877285.1975026,3869,5.0
1653877342.0762963,3902,5.0
1653877357.803484,3911,4.0
1653877364.5538824,3915,5.0
1653877374.6679108,3921,4.0
1653877395.857942,3933,3.0
1653877401.3886073,3936,4.0
1653877430.380555,3953,4.0
1653877437.1466322,3957,5.0
1653877452.7946239,3966,4.0
1653877468.2935202,3975,4.0
1653877478.476092,3981,3.0
1653877532.6056132,4012,4.0
1653877536.017962,4014,5.0
1653877551.6613317,4023,4.0
