time,Step,Reward
1654392113.0465333,396,0.5130545496940613
1654392115.2738638,495,4.403815269470215
1654392128.6181643,1089,3.5082976818084717
1654392137.5844254,1485,7.753772735595703
1654392139.7672913,1584,8.866318702697754
1654392146.4178116,1881,7.22855806350708
1654392148.6308925,1980,2.320568561553955
1654392150.8077834,2079,5.960195541381836
1654392155.2632873,2277,2.177377462387085
1654392157.4408834,2376,5.134016990661621
1654392164.3064344,2673,8.875348091125488
1654392166.5653224,2772,4.58594274520874
1654392191.0611024,3861,2.4675168991088867
1654392195.4916782,4059,11.290058135986328
1654392210.9254496,4752,7.076084136962891
1654392213.2377322,4851,4.611936092376709
1654392215.4956996,4950,4.475384712219238
1654392220.0102184,5148,3.2599339485168457
1654392226.776744,5445,-0.02997197024524212
1654392233.406773,5742,7.2568359375
1654392240.0620277,6039,6.839056491851807
1654392242.3061862,6138,13.177550315856934
1654392244.5835557,6237,4.120392322540283
1654392246.771961,6336,12.33405876159668
1654392251.2540295,6534,10.883260726928711
1654392253.4485872,6633,3.9430859088897705
1654392255.6925545,6732,9.07499885559082
1654392257.8948894,6831,15.250154495239258
1654392262.3025286,7029,7.419126510620117
1654392264.524225,7128,6.537622928619385
1654392277.8398046,7722,3.7662930488586426
1654392282.2469487,7920,3.9951484203338623
1654392288.9232848,8217,4.778296947479248
1654392295.6608534,8514,2.487743854522705
1654392304.5395002,8910,1.5356757640838623
1654392325.0310347,9900,8.881584167480469
1654392327.2076898,9999,7.361943244934082
1654392333.8546453,10296,7.230998516082764
1654392340.5031357,10593,6.011853218078613
1654392342.7960386,10692,5.065726280212402
1654392348.4147732,10890,7.392789840698242
1654392364.5441027,11583,-2.8999993801116943
1654392376.087086,12078,6.316944122314453
1654392385.0850973,12474,4.906864643096924
1654392387.3221242,12573,5.093276500701904
1654392393.4586272,12771,2.7281267642974854
1654392398.5632207,12969,0.5450131893157959
1654392400.7770715,13068,6.613915920257568
1654392412.1098828,13563,15.45162582397461
1654392414.3356318,13662,1.9348304271697998
1654392429.9993644,14355,9.689682960510254
1654392434.4463794,14553,5.702425956726074
1654392436.650624,14652,4.942678451538086
1654392443.2898698,14949,3.0749118328094482
1654392459.476331,15642,7.435973644256592
1654392466.1706972,15939,7.1115875244140625
1654392470.6447713,16137,7.315989017486572
1654392475.1203575,16335,-3.2999989986419678
1654392488.5847268,16929,8.078791618347168
1654392490.8342843,17028,6.218767166137695
1654392493.06384,17127,7.127452850341797
1654392499.722483,17424,10.137578964233398
1654392504.2305303,17622,8.193044662475586
1654392513.1123617,18018,12.908052444458008
1654392519.783646,18315,7.7134480476379395
1654392522.3416352,18414,10.662118911743164
1654392525.4216604,18513,1.9455440044403076
1654392534.4732401,18909,4.654794692993164
1654392536.6832092,19008,3.1997225284576416
1654392538.9633508,19107,6.099223613739014
1654392552.8293743,19800,2.9954795837402344
1654392559.519176,20097,3.9708290100097656
1654392561.793979,20196,10.596673965454102
1654392564.0366204,20295,11.072482109069824
1654392566.266368,20394,9.127028465270996
1654392570.8452892,20592,0.6484092473983765
1654392576.6082828,20790,11.373106002807617
1654392581.0433636,20988,10.897266387939453
1654392585.7272964,21186,1.4451334476470947
1654392590.1852207,21384,12.56175422668457
1654392592.4113262,21483,11.224405288696289
1654392599.121895,21780,11.293231964111328
1654392601.3750823,21879,9.17122745513916
1654392603.601762,21978,7.186732292175293
1654392605.855769,22077,1.9773777723312378
1654392610.2924578,22275,0.3580542504787445
1654392621.533688,22770,7.499861240386963
1654392644.062973,23760,4.689800262451172
1654392648.5901701,23958,13.46532917022705
1654392655.357476,24255,6.977870941162109
1654392657.5234253,24354,5.00203275680542
1654392659.7656865,24453,10.916999816894531
1654392677.686646,25245,9.174521446228027
1654392686.6487098,25641,11.79560661315918
1654392688.8862069,25740,11.369964599609375
1654392691.181695,25839,3.692636728286743
1654392695.575747,26037,12.283344268798828
1654392715.105116,26829,4.442452430725098
1654392717.372257,26928,8.778491973876953
1654392724.0823157,27225,7.7630228996276855
1654392728.5847437,27423,4.30743408203125
1654392733.0949535,27621,5.457740783691406
1654392737.5963945,27819,2.8986637592315674
1654392742.0438013,28017,12.302558898925781
1654392744.2909913,28116,2.2751591205596924
1654392748.7015176,28314,4.83372163772583
1654392754.3426495,28512,5.580904960632324
1654392756.820113,28611,5.95658540725708
1654392761.2101645,28809,6.744296073913574
1654392772.4369588,29304,11.802497863769531
1654392774.6588986,29403,7.124565124511719
1654392776.8548114,29502,12.912191390991211
1654392779.090809,29601,0.14404457807540894
1654392795.095314,30393,1.0336216688156128
1654392799.5713413,30591,2.5942976474761963
1654392808.5063016,30987,11.90637493133545
1654392817.4497235,31383,2.3418216705322266
1654392821.890274,31581,4.968541622161865
1654392824.1173022,31680,4.122704029083252
1654392830.7265089,31977,7.551555633544922
1654392835.173548,32175,3.1659352779388428
1654392846.2643843,32670,5.110616683959961
1654392850.7855482,32868,7.669248104095459
1654392853.0312262,32967,10.399580001831055
1654392864.089746,33462,12.556426048278809
1654392866.2740462,33561,9.274306297302246
1654392870.6915472,33759,4.959275722503662
1654392877.5399308,34056,7.69640588760376
1654392882.0403457,34254,9.552517890930176
1654392884.7643466,34353,5.577122688293457
1654392894.404825,34749,7.819429397583008
1654392898.9994743,34947,0.7451335191726685
1654392903.4452364,35145,-0.22201353311538696
1654392912.3618734,35541,4.853261947631836
1654392921.139482,35937,8.163647651672363
1654392923.3683674,36036,8.48753547668457
1654392925.5435994,36135,9.684941291809082
1654392927.7503307,36234,4.51413631439209
1654392929.9611247,36333,9.246702194213867
1654392932.227304,36432,7.778314113616943
1654392949.253158,37125,9.781451225280762
1654392955.782822,37422,11.611491203308105
1654392957.9903355,37521,14.242498397827148
1654392975.7839704,38313,1.3470216989517212
1654392984.6703062,38709,9.050472259521484
1654392986.8897383,38808,8.564668655395508
1654392989.0961046,38907,12.696252822875977
1654392993.4800134,39105,5.308845043182373
1654393000.134059,39402,8.134922981262207
1654393009.443119,39897,5.736010551452637
1654393013.9631414,40095,13.209774017333984
1654393025.2045813,40590,6.018163681030273
1654393034.0885942,40986,11.111841201782227
1654393036.3125002,41085,2.461198329925537
