time,Step,Reward
1654392115.2738638,495,4.403815269470215
1654392137.5844254,1485,7.753772735595703
1654392139.7672913,1584,8.866318702697754
1654392146.4178116,1881,7.22855806350708
1654392148.6308925,1980,2.320568561553955
1654392164.3064344,2673,8.875348091125488
1654392166.5653224,2772,4.58594274520874
1654392195.4916782,4059,11.290058135986328
1654392210.9254496,4752,7.076084136962891
1654392213.2377322,4851,4.611936092376709
1654392215.4956996,4950,4.475384712219238
1654392244.5835557,6237,4.120392322540283
1654392246.771961,6336,12.33405876159668
1654392253.4485872,6633,3.9430859088897705
1654392255.6925545,6732,9.07499885559082
1654392262.3025286,7029,7.419126510620117
1654392264.524225,7128,6.537622928619385
1654392277.8398046,7722,3.7662930488586426
1654392288.9232848,8217,4.778296947479248
1654392304.5395002,8910,1.5356757640838623
1654392325.0310347,9900,8.881584167480469
1654392333.8546453,10296,7.230998516082764
1654392342.7960386,10692,5.065726280212402
1654392376.087086,12078,6.316944122314453
1654392385.0850973,12474,4.906864643096924
1654392387.3221242,12573,5.093276500701904
1654392393.4586272,12771,2.7281267642974854
1654392398.5632207,12969,0.5450131893157959
1654392412.1098828,13563,15.45162582397461
1654392429.9993644,14355,9.689682960510254
1654392434.4463794,14553,5.702425956726074
1654392436.650624,14652,4.942678451538086
1654392443.2898698,14949,3.0749118328094482
1654392459.476331,15642,7.435973644256592
1654392466.1706972,15939,7.1115875244140625
1654392470.6447713,16137,7.315989017486572
1654392475.1203575,16335,-3.2999989986419678
1654392493.06384,17127,7.127452850341797
1654392504.2305303,17622,8.193044662475586
1654392519.783646,18315,7.7134480476379395
1654392522.3416352,18414,10.662118911743164
1654392536.6832092,19008,3.1997225284576416
1654392538.9633508,19107,6.099223613739014
1654392561.793979,20196,10.596673965454102
1654392566.266368,20394,9.127028465270996
1654392585.7272964,21186,1.4451334476470947
1654392590.1852207,21384,12.56175422668457
1654392610.2924578,22275,0.3580542504787445
1654392621.533688,22770,7.499861240386963
1654392655.357476,24255,6.977870941162109
1654392657.5234253,24354,5.00203275680542
1654392686.6487098,25641,11.79560661315918
1654392688.8862069,25740,11.369964599609375
1654392717.372257,26928,8.778491973876953
1654392724.0823157,27225,7.7630228996276855
1654392742.0438013,28017,12.302558898925781
1654392748.7015176,28314,4.83372163772583
1654392756.820113,28611,5.95658540725708
1654392761.2101645,28809,6.744296073913574
1654392772.4369588,29304,11.802497863769531
1654392776.8548114,29502,12.912191390991211
1654392779.090809,29601,0.14404457807540894
1654392799.5713413,30591,2.5942976474761963
1654392808.5063016,30987,11.90637493133545
1654392817.4497235,31383,2.3418216705322266
1654392821.890274,31581,4.968541622161865
1654392824.1173022,31680,4.122704029083252
1654392830.7265089,31977,7.551555633544922
1654392882.0403457,34254,9.552517890930176
1654392884.7643466,34353,5.577122688293457
1654392912.3618734,35541,4.853261947631836
1654392925.5435994,36135,9.684941291809082
1654392927.7503307,36234,4.51413631439209
1654392929.9611247,36333,9.246702194213867
1654392957.9903355,37521,14.242498397827148
1654392975.7839704,38313,1.3470216989517212
