time,Episodes,Villages taken
1653748876.1148672,643,5.0
1653748877.3706744,644,4.0
1653748886.2574008,649,5.0
1653748903.468667,658,7.0
1653748920.8447905,667,4.0
1653748934.5465636,675,4.0
1653748936.6742527,676,4.0
1653748963.95439,692,4.0
1653748968.3473873,694,4.0
1653749016.4160664,721,5.0
1653749019.8559005,723,6.0
1653749024.3629005,725,5.0
1653749029.3833458,728,6.0
1653749035.8819811,731,5.0
1653749037.2573688,732,5.0
1653749059.528384,744,3.0
1653749095.7572618,764,4.0
1653749114.9695392,775,4.0
1653749116.223133,776,5.0
1653749127.2566879,782,6.0
1653749137.530731,788,4.0
1653749165.8185375,804,5.0
1653749167.062034,805,6.0
1653749172.0155206,807,5.0
1653749195.3788886,819,4.0
1653749218.750999,832,5.0
1653749233.2644784,840,5.0
1653749239.2657669,843,6.0
1653749264.5026102,857,4.0
1653749272.718778,862,4.0
1653749280.499998,866,5.0
1653749288.6398237,871,4.0
1653749315.981881,886,5.0
1653749335.3302238,897,4.0
1653749342.2428086,901,4.0
1653749393.5182304,930,6.0
1653749396.9562893,932,4.0
1653749414.171513,942,6.0
1653749426.6751964,949,5.0
1653749451.671114,963,4.0
1653749479.241291,979,4.0
1653749484.8344424,982,4.0
1653749507.0021343,994,5.0
1653749515.1742864,999,4.0
1653749520.716629,1002,4.0
1653749524.1401868,1004,5.0
1653749544.0859823,1015,3.0
1653749557.0488129,1022,4.0
1653749563.975854,1026,6.0
1653749567.5017464,1028,3.0
1653749583.508315,1037,5.0
1653749618.004504,1056,5.0
1653749644.4610872,1070,6.0
1653749646.9187143,1071,4.0
1653749650.5828235,1073,5.0
1653749658.1743186,1077,5.0
1653749674.3059187,1086,3.0
1653749696.3007255,1098,3.0
1653749703.3189154,1102,4.0
1653749706.868157,1104,5.0
1653749711.6050224,1107,5.0
1653749715.9493532,1109,5.0
1653749719.4681165,1111,6.0
1653749737.2797313,1121,5.0
1653749744.1402903,1125,2.0
1653749757.2828836,1132,6.0
1653749760.801579,1134,5.0
1653749769.7949493,1139,4.0
1653749782.3971267,1146,3.0
1653749791.6892002,1151,4.0
1653749792.8986707,1152,5.0
1653749815.0729573,1164,2.0
1653749832.766005,1174,7.0
1653749836.270635,1176,6.0
1653749838.599366,1177,5.0
1653749851.4151964,1184,3.0
1653749859.6057863,1189,4.0
1653749866.719452,1193,3.0
1653749868.9955447,1194,5.0
1653749890.6899583,1206,4.0
1653749904.1293783,1214,4.0
1653749911.11353,1218,5.0
1653749924.1443355,1225,5.0
1653749957.924196,1244,2.0
1653749961.337912,1246,4.0
1653749970.5554156,1251,5.0
1653749972.8452463,1252,4.0
1653749976.2723289,1254,5.0
1653749981.02443,1257,4.0
1653749988.972256,1261,5.0
1653749999.4437697,1267,5.0
1653750006.34976,1271,6.0
1653750015.6402998,1276,5.0
1653750025.720138,1282,5.0
1653750031.274818,1285,5.0
1653750040.4395344,1290,5.0
1653750054.7625237,1298,6.0
1653750061.506427,1302,5.0
1653750068.4893677,1306,6.0
1653750084.5899017,1315,4.0
1653750097.2614348,1322,4.0
1653750102.8833475,1325,4.0
1653750104.1600876,1326,5.0
1653750119.9014528,1335,5.0
1653750137.5041602,1345,4.0
1653750163.062666,1360,5.0
1653750169.7956464,1364,3.0
1653750188.6816168,1375,5.0
1653750190.8822517,1376,6.0
1653750197.962502,1380,6.0
1653750221.3554952,1393,6.0
1653750264.9115386,1417,5.0
1653750301.8224921,1438,5.0
1653750303.9386091,1439,4.0
1653750321.1311622,1449,4.0
1653750335.757576,1457,5.0
1653750337.0775275,1458,3.0
1653750342.7418642,1461,5.0
1653750366.2200658,1474,4.0
1653750369.6713731,1476,5.0
1653750389.3787973,1487,5.0
1653750395.0846467,1490,3.0
1653750402.3364444,1494,4.0
1653750416.3337345,1502,5.0
1653750428.835858,1509,4.0
1653750430.984558,1510,6.0
1653750436.1161203,1513,4.0
1653750442.029703,1516,4.0
1653750463.4163399,1528,3.0
1653750473.6014292,1534,4.0
1653750480.3383105,1538,4.0
1653750498.1797514,1548,4.0
1653750502.8239493,1551,5.0
1653750527.4616125,1565,6.0
1653750532.9838996,1568,6.0
1653750541.010823,1573,5.0
1653750546.449569,1576,6.0
1653750562.494326,1585,5.0
1653750582.2239096,1596,4.0
1653750591.2816777,1601,5.0
1653750594.6837943,1603,4.0
1653750638.6473937,1627,4.0
1653750653.085557,1635,4.0
1653750656.431615,1637,5.0
1653750672.2347872,1646,4.0
1653750674.335827,1647,3.0
1653750686.792915,1654,3.0
1653750700.29976,1662,4.0
1653750707.1005607,1666,4.0
1653750713.912241,1670,3.0
1653750727.1015337,1677,5.0
1653750730.526069,1679,4.0
1653750741.6717052,1685,3.0
1653750756.5790682,1694,5.0
1653750771.0483487,1702,3.0
1653750774.4257967,1704,3.0
1653750779.9558966,1707,4.0
1653750784.6833107,1710,5.0
1653750786.83501,1711,4.0
1653750799.1059937,1718,2.0
1653750807.1986709,1723,6.0
1653750819.4294574,1730,4.0
1653750835.2858508,1739,5.0
1653750845.6248765,1745,5.0
1653750861.3693974,1754,5.0
1653750880.6423447,1765,5.0
1653750898.6526341,1775,5.0
1653750902.0819929,1777,4.0
1653750915.1010327,1784,6.0
1653750923.190645,1789,6.0
1653750928.7645671,1792,5.0
1653750943.6436965,1800,3.0
1653750977.1621819,1819,5.0
1653750996.3427997,1830,3.0
1653751025.7128386,1847,4.0
1653751032.5144942,1851,3.0
1653751048.4099476,1860,5.0
1653751057.4725802,1865,4.0
1653751059.5815973,1866,4.0
1653751060.8464773,1867,4.0
1653751100.8185828,1888,6.0
1653751119.8168135,1899,5.0
1653751124.5126116,1902,4.0
1653751134.7148175,1908,3.0
1653751136.8453498,1909,4.0
1653751153.054965,1918,5.0
1653751163.6645572,1924,4.0
1653751165.9034746,1925,4.0
1653751185.485495,1936,2.0
1653751192.4423668,1940,3.0
1653751201.8631601,1945,3.0
1653751205.2833538,1947,5.0
1653751222.2263398,1956,5.0
1653751229.341077,1960,5.0
1653751230.6786437,1961,4.0
1653751235.2466772,1963,5.0
1653751236.6791542,1964,5.0
1653751240.1380324,1966,5.0
1653751259.4238522,1977,3.0
1653751262.8812318,1979,5.0
1653751277.4064243,1987,3.0
1653751278.6964178,1988,4.0
1653751284.3198473,1991,7.0
1653751349.568929,2026,4.0
1653751387.8655028,2047,6.0
1653751401.6370661,2055,4.0
1653751428.8373716,2070,5.0
1653751445.1855109,2079,6.0
1653751463.3783565,2089,5.0
1653751478.0467248,2097,4.0
1653751482.9613104,2100,4.0
1653751488.7367125,2103,5.0
1653751499.6975908,2109,6.0
1653751509.357823,2114,5.0
1653751511.7303739,2115,5.0
1653751518.62779,2119,5.0
1653751519.978329,2120,3.0
1653751532.7203074,2127,5.0
1653751553.7676404,2139,6.0
1653751588.582002,2159,5.0
1653751605.614171,2169,4.0
1653751636.7523334,2187,3.0
1653751648.9754992,2194,6.0
1653751661.0685198,2201,5.0
1653751674.5789578,2209,5.0
1653751677.886281,2211,5.0
1653751684.5996692,2215,4.0
1653751695.561333,2221,5.0
1653751702.3160217,2225,2.0
1653751721.2953234,2236,4.0
1653751726.7388756,2239,4.0
1653751734.6660411,2244,4.0
1653751757.0201197,2257,5.0
1653751800.4774144,2281,3.0
1653751842.4979193,2305,2.0
1653751861.407385,2316,3.0
1653751866.003108,2319,5.0
1653751874.926149,2324,5.0
1653751888.444369,2332,3.0
1653751906.142736,2342,5.0
1653751923.948716,2352,4.0
1653751936.204252,2359,4.0
1653751988.0015173,2389,3.0
1653751994.7577996,2393,3.0
1653751996.0126674,2394,4.0
1653752002.7493951,2398,5.0
1653752060.4790459,2431,5.0
1653752067.1959605,2435,5.0
1653752068.4484806,2436,3.0
1653752077.2363677,2441,7.0
1653752099.6668327,2454,4.0
1653752113.30864,2462,3.0
1653752118.819352,2465,4.0
1653752153.1991146,2485,6.0
1653752166.8069203,2493,4.0
1653752175.5603426,2498,3.0
1653752178.9291813,2500,4.0
1653752184.5095787,2503,4.0
1653752187.8445156,2505,5.0
1653752190.0496125,2506,5.0
1653752208.9973857,2517,4.0
1653752210.2554185,2518,6.0
1653752212.345648,2519,5.0
1653752215.625805,2521,4.0
1653752219.0286655,2523,3.0
1653752227.8545597,2528,5.0
1653752231.2123332,2530,5.0
1653752244.5964832,2538,4.0
1653752291.017333,2565,4.0
1653752292.2980573,2566,5.0
1653752311.2604418,2577,5.0
1653752313.4000509,2578,3.0
1653752330.5020711,2588,6.0
1653752338.0835977,2592,4.0
1653752349.4211717,2599,5.0
1653752361.6778026,2606,4.0
1653752384.0718844,2619,5.0
1653752398.4489887,2627,5.0
1653752399.6931396,2628,4.0
1653752411.9928005,2635,5.0
1653752417.478945,2638,3.0
1653752418.730863,2639,4.0
1653752420.8410602,2640,6.0
1653752425.4813743,2643,6.0
1653752458.8747666,2662,6.0
1653752472.3152382,2670,6.0
1653752474.423842,2671,4.0
1653752479.0589578,2674,4.0
1653752491.3603904,2681,6.0
1653752496.8785286,2684,6.0
1653752500.331302,2686,4.0
1653752505.759188,2689,4.0
1653752512.5546536,2693,3.0
1653752528.1668134,2702,6.0
1653752538.3279254,2708,5.0
1653752547.2052646,2713,6.0
1653752553.911686,2717,4.0
1653752557.25155,2719,6.0
1653752574.1564472,2729,4.0
1653752576.25527,2730,5.0
1653752583.111165,2734,5.0
1653752591.981489,2739,6.0
1653752593.254234,2740,5.0
1653752595.3613396,2741,5.0
1653752600.762739,2744,4.0
1653752616.4016936,2753,5.0
1653752617.6666727,2754,4.0
1653752619.760501,2755,5.0
1653752627.73384,2760,4.0
1653752636.604019,2765,4.0
1653752642.1102219,2768,5.0
1653752650.9444437,2773,4.0
1653752654.297069,2775,5.0
1653752658.897949,2778,5.0
1653752671.0551353,2785,5.0
1653752692.242201,2797,4.0
1653752717.926629,2812,5.0
1653752738.1165419,2824,5.0
1653752755.69932,2834,4.0
1653752762.410583,2838,4.0
1653752772.489978,2844,4.0
1653752784.725659,2851,5.0
1653752786.8552086,2852,6.0
1653752802.5286171,2861,6.0
1653752803.7800505,2862,6.0
1653752837.2250257,2881,5.0
1653752838.4725475,2882,6.0
1653752854.053505,2891,4.0
1653752857.374663,2893,5.0
1653752900.9224892,2918,5.0
1653752905.5563982,2921,4.0
1653752911.0009403,2924,6.0
1653752921.0555022,2930,6.0
1653752928.7359564,2934,4.0
1653752959.2214906,2952,3.0
1653752964.7462866,2955,3.0
1653752976.9621084,2962,4.0
1653752982.460689,2965,5.0
1653752985.8518844,2967,4.0
1653752996.0911171,2973,6.0
1653753018.4656396,2986,3.0
1653753035.330091,2996,5.0
1653753040.8413832,2999,4.0
1653753046.3184237,3002,4.0
1653753059.7228997,3010,4.0
1653753075.2977073,3019,4.0
1653753101.0722969,3034,5.0
1653753124.17554,3047,5.0
1653753186.8642306,3083,5.0
1653753189.0001318,3084,6.0
1653753199.23317,3090,5.0
1653753209.4525955,3096,4.0
1653753221.6904044,3103,4.0
1653753223.8372037,3104,5.0
1653753225.0903308,3105,5.0
1653753228.4780984,3107,4.0
1653753235.3172448,3111,4.0
1653753242.9473834,3115,5.0
1653753249.6875052,3119,5.0
1653753250.9655473,3120,5.0
1653753253.08558,3121,5.0
1653753261.8929386,3126,3.0
1653753265.2716336,3128,5.0
1653753282.1634905,3138,5.0
1653753294.4092,3145,4.0
1653753342.5323322,3173,3.0
1653753351.4306724,3178,5.0
1653753367.1266816,3187,4.0
1653753372.686432,3190,5.0
1653753376.059128,3192,4.0
1653753388.4619057,3199,4.0
1653753396.4240558,3204,5.0
1653753411.0239916,3212,4.0
1653753417.798598,3216,4.0
1653753419.0571146,3217,5.0
1653753424.5889986,3220,5.0
1653753427.9298236,3222,5.0
1653753440.1754267,3229,5.0
1653753460.5665967,3241,5.0
1653753464.7655234,3243,4.0
1653753502.903628,3265,5.0
1653753507.5866246,3268,5.0
1653753559.990123,3298,4.0
1653753573.572656,3306,2.0
1653753632.766219,3340,5.0
1653753640.7543445,3345,4.0
1653753659.7978852,3356,5.0
1653753675.3617713,3365,5.0
1653753687.7128117,3372,6.0
1653753691.0671449,3374,4.0
1653753696.5855513,3377,5.0
1653753699.9705863,3379,4.0
1653753708.9829047,3384,4.0
1653753710.2673256,3385,4.0
1653753724.6007233,3393,5.0
1653753725.8743653,3394,4.0
1653753743.7077587,3404,4.0
1653753750.4455137,3408,4.0
1653753767.4369707,3418,5.0
1653753774.2608545,3422,4.0
1653753781.8529046,3426,5.0
1653753795.4247334,3434,5.0
1653753804.4262815,3439,3.0
1653753830.2833338,3454,3.0
1653753832.3735769,3455,5.0
1653753842.484142,3461,3.0
1653753854.7890923,3468,4.0
1653753861.5326421,3472,5.0
1653753878.3816695,3482,4.0
1653753880.476388,3483,5.0
1653753881.7208471,3484,5.0
1653753883.8886046,3485,4.0
1653753893.986734,3491,5.0
1653753897.3390372,3493,4.0
1653753909.5547476,3500,5.0
1653753915.0387359,3503,5.0
1653753934.0207152,3514,5.0
1653753954.1612864,3526,4.0
1653753970.0199728,3535,4.0
1653753981.0443945,3541,5.0
1653753985.731612,3544,5.0
1653753995.9143116,3550,5.0
1653754010.400667,3558,6.0
1653754023.889007,3566,4.0
1653754029.4274356,3569,4.0
1653754039.6027088,3575,5.0
1653754041.7282047,3576,6.0
1653754055.221732,3584,6.0
1653754060.746069,3587,5.0
1653754062.0013754,3588,5.0
1653754083.234807,3600,5.0
1653754105.6840024,3613,5.0
1653754106.9366534,3614,5.0
1653754109.0568192,3615,5.0
1653754111.1745098,3616,5.0
1653754134.9266913,3630,6.0
1653754176.3025334,3654,4.0
1653754181.8259697,3657,5.0
1653754185.2115598,3659,4.0
1653754188.5863333,3661,6.0
1653754194.1208346,3664,5.0
1653754200.9028106,3668,6.0
1653754206.4637887,3671,6.0
1653754207.7370377,3672,5.0
1653754239.1289873,3690,5.0
1653754256.0399272,3700,6.0
1653754277.1404533,3712,4.0
1653754286.0897827,3717,5.0
1653754287.3729722,3718,3.0
1653754292.8613129,3721,5.0
1653754312.0175693,3732,6.0
1653754314.126715,3733,3.0
1653754334.5406425,3745,6.0
1653754336.757217,3746,5.0
1653754340.1832502,3748,6.0
1653754341.4490645,3749,4.0
1653754346.9381578,3752,5.0
1653754348.2373028,3753,5.0
1653754350.3426125,3754,6.0
1653754362.6658084,3761,3.0
1653754366.0691082,3763,6.0
1653754395.9272301,3780,4.0
1653754399.4970512,3782,5.0
1653754401.802765,3783,4.0
1653754408.9060361,3787,3.0
1653754414.8139722,3790,5.0
1653754445.3086612,3807,4.0
1653754455.4373534,3813,3.0
1653754473.250839,3823,4.0
1653754501.2986002,3839,4.0
1653754516.3543782,3848,3.0
1653754520.6341274,3850,5.0
1653754524.0175726,3852,5.0
1653754532.0268545,3857,4.0
1653754537.537264,3860,6.0
1653754553.2908695,3869,3.0
1653754558.7917476,3872,2.0
1653754610.568141,3902,5.0
1653754620.574731,3908,6.0
1653754626.053742,3911,4.0
1653754632.8429437,3915,5.0
1653754642.9513764,3921,4.0
1653754648.439722,3924,6.0
1653754660.8450935,3931,5.0
1653754664.227991,3933,6.0
1653754669.7767959,3936,5.0
1653754699.0230994,3953,5.0
1653754705.7668417,3957,5.0
1653754719.3060884,3965,5.0
1653754721.4736302,3966,6.0
1653754737.0516715,3975,6.0
1653754747.182883,3981,7.0
1653754749.3238416,3982,4.0
1653754750.624201,3983,6.0
1653754756.0944083,3986,5.0
1653754766.2947283,3992,4.0
1653754780.71724,4000,6.0
1653754794.364427,4008,4.0
1653754801.1021311,4012,4.0
1653754804.5145605,4014,5.0
1653754820.1334937,4023,4.0
1653754829.0817206,4028,4.0
1653754839.1634545,4034,4.0
1653754849.3403816,4040,4.0
1653754861.6491096,4047,5.0
1653754893.0406241,4065,3.0
1653754925.5562837,4084,5.0
1653754933.1452012,4088,4.0
1653754939.9053545,4092,5.0
1653754969.1571238,4109,3.0
1653754979.3709679,4115,4.0
1653754990.4086242,4121,4.0
1653754995.0757582,4124,4.0
1653755026.4832146,4142,5.0
1653755033.6257534,4146,5.0
1653755045.7968338,4153,6.0
1653755051.1737833,4156,6.0
1653755069.8663933,4167,4.0
1653755086.7970695,4177,5.0
1653755088.8934588,4178,5.0
1653755094.7421045,4181,4.0
1653755114.1980836,4192,5.0
1653755139.5553606,4207,5.0
1653755140.8064153,4208,6.0
1653755162.9026155,4221,6.0
1653755173.7196856,4227,3.0
1653755177.0973015,4229,5.0
1653755178.3489199,4230,4.0
1653755189.2841866,4236,4.0
1653755205.8839858,4246,5.0
1653755211.2595534,4249,3.0
1653755215.838439,4252,6.0
1653755217.9116218,4253,4.0
1653755224.560835,4257,4.0
1653755242.0855029,4267,5.0
1653755264.3947446,4280,4.0
1653755265.6419024,4281,4.0
1653755295.2096472,4298,5.0
1653755313.8765926,4309,3.0
1653755328.4015694,4318,6.0
1653755337.1131656,4323,4.0
1653755345.8822744,4328,4.0
1653755355.895879,4334,6.0
1653755371.3874645,4343,6.0
1653755385.4516208,4351,5.0
1653755400.029699,4360,5.0
1653755418.7894485,4371,5.0
1653755427.5973058,4376,4.0
1653755433.1243224,4379,5.0
1653755460.8251579,4395,2.0
1653755474.1437898,4403,5.0
1653755480.8644009,4407,5.0
1653755486.3986373,4410,5.0
1653755491.0289369,4413,5.0
1653755493.094375,4414,4.0
1653755506.490483,4422,5.0
1653755509.7961483,4424,5.0
1653755529.3380516,4435,5.0
1653755543.6590006,4443,4.0
1653755562.4542906,4454,5.0
1653755569.1660619,4458,5.0
1653755582.5603971,4466,5.0
1653755622.1532156,4489,2.0
1653755632.1162188,4495,6.0
1653755638.9800613,4499,5.0
1653755665.225923,4514,6.0
1653755675.213706,4520,4.0
1653755680.6377852,4523,4.0
1653755683.9495325,4525,4.0
1653755695.059898,4532,5.0
1653755700.5543969,4535,5.0
1653755707.2197988,4539,4.0
1653755714.6474137,4543,6.0
1653755715.8282392,4544,5.0
1653755721.2152343,4547,6.0
1653755743.25258,4560,4.0
1653755746.5615382,4562,1.0
1653755749.8460386,4564,5.0
1653755756.5128772,4568,6.0
