time,Episodes,Villages taken
1653668637.0536442,4,3.0
1653668658.416127,18,4.0
1653668692.4590592,40,4.0
1653668703.9702501,47,1.0
1653668705.1676507,48,1.0
1653668727.448308,62,5.0
1653668729.2630467,63,2.0
1653668741.6146202,71,5.0
1653668752.4138653,77,3.0
1653668760.6477373,82,5.0
1653668771.5609446,89,3.0
1653668787.4443395,99,4.0
1653668793.4215624,103,7.0
1653668800.2935307,107,3.0
1653668821.754574,121,3.0
1653668834.0798788,128,3.0
1653668837.300806,130,5.0
1653668879.4472907,157,3.0
1653668884.107104,160,5.0
1653668887.159082,162,3.0
1653668890.2441838,164,2.0
1653668902.2597232,172,1.0
1653668930.9979184,191,4.0
1653668948.057487,203,3.0
1653668950.8880548,205,5.0
1653668986.309202,229,2.0
1653669009.5856862,244,1.0
1653669011.4276843,245,2.0
1653669034.2604961,259,5.0
1653669053.00012,271,4.0
1653669058.0848517,274,2.0
1653669070.112917,282,4.0
1653669075.178748,285,5.0
1653669091.138327,295,4.0
1653669124.3293386,316,2.0
1653669129.4514735,319,5.0
1653669134.1543174,322,3.0
1653669172.140778,346,4.0
1653669191.5169191,358,5.0
1653669200.5801797,364,3.0
1653669203.6343234,366,2.0
1653669222.6200185,378,1.0
1653669234.5647519,386,3.0
1653669240.502601,390,4.0
1653669259.1944594,402,4.0
1653669262.0992134,404,3.0
1653669278.6720495,415,5.0
1653669289.6049364,422,2.0
1653669309.7785609,436,3.0
1653669311.5637136,437,2.0
1653669314.4809952,439,6.0
1653669324.9390085,446,3.0
1653669347.589666,461,3.0
1653669353.993317,465,5.0
1653669369.6045244,475,4.0
1653669377.2816544,480,4.0
1653669378.3508906,481,5.0
1653669387.2001958,487,5.0
1653669422.017655,510,2.0
1653669424.8602588,512,2.0
1653669427.1760201,513,3.0
1653669428.7356043,514,4.0
1653669433.6731918,517,4.0
1653669457.9506657,533,5.0
1653669461.9720988,536,5.0
1653669464.8959708,538,4.0
1653669467.8807256,540,4.0
1653669486.3168855,552,4.0
1653669492.3588603,556,3.0
1653669501.211878,562,5.0
1653669510.7015753,568,4.0
1653669543.7978537,590,5.0
1653669549.709525,594,4.0
1653669552.6411538,596,2.0
1653669593.538606,623,2.0
1653669600.4774373,628,3.0
1653669602.274805,629,5.0
1653669614.062678,637,3.0
1653669623.6285567,643,4.0
1653669624.7730575,644,3.0
1653669646.2080424,658,4.0
1653669659.9978244,667,5.0
1653669671.8377829,675,5.0
1653669702.0294535,694,6.0
1653669743.8860471,721,5.0
1653669750.6401467,725,3.0
1653669759.6354213,731,4.0
1653669779.764484,744,2.0
1653669810.9194288,764,4.0
1653669827.8725631,775,4.0
1653669829.0264752,776,4.0
1653669838.8796546,782,5.0
1653669847.9290655,788,3.0
1653669873.0368023,804,5.0
1653669874.1590412,805,6.0
1653669877.2456524,807,3.0
1653669896.3294463,819,3.0
1653669916.5577219,832,1.0
1653669957.4246385,857,5.0
1653669971.8171961,866,1.0
1653669979.1298428,871,2.0
1653670004.85565,886,5.0
1653670023.1735642,897,5.0
1653670030.9182503,901,1.0
1653670078.1798718,930,3.0
1653670098.1507885,942,2.0
1653670109.9691558,949,4.0
1653670188.1709583,999,3.0
1653670193.1328065,1002,3.0
1653670196.2841299,1004,3.0
1653670213.7101426,1015,2.0
1653670224.9912734,1022,4.0
1653670231.0451174,1026,4.0
1653670234.1230257,1028,2.0
1653670248.470731,1037,3.0
1653670278.9732404,1056,2.0
1653670300.8232353,1070,3.0
1653670302.7493596,1071,4.0
1653670305.9518797,1073,3.0
1653670312.6922095,1077,4.0
1653670327.1662405,1086,4.0
1653670347.609104,1098,5.0
1653670353.9981866,1102,5.0
1653670357.3926847,1104,4.0
1653670365.5387437,1109,4.0
1653670368.6232405,1111,3.0
1653670384.3160095,1121,1.0
1653670391.0043647,1125,3.0
1653670402.3085444,1132,4.0
1653670405.3715935,1134,3.0
1653670424.852868,1146,5.0
1653670433.0452461,1151,3.0
1653670434.1947713,1152,6.0
1653670453.6869144,1164,5.0
1653670469.528783,1174,4.0
1653670472.6558783,1176,5.0
1653670486.2671816,1184,5.0
1653670499.966902,1193,4.0
1653670501.9307501,1194,3.0
1653670541.0223796,1218,3.0
1653670553.569417,1225,3.0
1653670588.4689255,1246,5.0
1653670596.688148,1251,6.0
1653670598.6505969,1252,3.0
1653670601.817947,1254,7.0
1653670606.28276,1257,2.0
1653670613.3456616,1261,4.0
1653670622.8453681,1267,4.0
1653670629.9146419,1271,4.0
1653670638.596748,1276,7.0
1653670674.5709577,1298,6.0
1653670687.2013786,1306,4.0
1653670713.0655854,1322,2.0
1653670718.0672283,1325,5.0
1653670750.320412,1345,4.0
1653670774.5956275,1360,3.0
1653670780.8663905,1364,5.0
1653670798.5704174,1375,5.0
1653670800.4746513,1376,4.0
1653670868.3398438,1417,6.0
1653670904.1080134,1438,5.0
1653670906.4420187,1439,2.0
1653670937.6325092,1457,5.0
1653670938.8770413,1458,5.0
1653670964.7245336,1474,4.0
1653670967.9209733,1476,3.0
1653670991.3550217,1490,7.0
1653670997.6250062,1494,6.0
1653671010.1485143,1502,6.0
1653671023.4938786,1510,6.0
1653671027.812608,1513,3.0
1653671032.866493,1516,5.0
1653671053.653436,1528,4.0
1653671069.199176,1538,2.0
1653671086.0248034,1548,6.0
1653671090.2647893,1551,3.0
1653671113.2424617,1565,4.0
1653671118.530518,1568,8.0
1653671126.1555197,1573,6.0
1653671131.2870393,1576,4.0
1653671145.947201,1585,7.0
1653671165.1653082,1596,5.0
1653671173.366383,1601,4.0
1653671176.8429556,1603,6.0
1653671217.3402581,1627,4.0
1653671230.6416075,1635,4.0
1653671234.3044803,1637,5.0
1653671288.2863014,1670,5.0
1653671302.7672317,1679,4.0
1653671312.9360733,1685,7.0
1653671326.6797893,1694,5.0
1653671340.2574868,1702,7.0
1653671343.3277912,1704,6.0
1653671348.407603,1707,4.0
1653671354.665486,1711,3.0
1653671365.8006308,1718,3.0
1653671409.48458,1745,4.0
1653671459.348,1775,4.0
1653671462.520768,1777,5.0
1653671481.4940374,1789,2.0
1653671486.640508,1792,6.0
1653671499.17358,1800,6.0
1653671574.9789906,1847,2.0
1653671581.2546017,1851,6.0
1653671595.8884568,1860,5.0
1653671604.247121,1865,5.0
1653671607.3917882,1867,4.0
1653671641.488895,1888,6.0
1653671659.4385333,1899,4.0
1653671663.8725183,1902,4.0
1653671673.1682441,1908,5.0
1653671675.1685503,1909,6.0
1653671699.315695,1924,4.0
1653671701.2976623,1925,2.0
1653671719.0296462,1936,4.0
1653671725.3957582,1940,4.0
1653671733.852673,1945,4.0
1653671736.911474,1947,6.0
1653671758.8185978,1960,6.0
1653671760.0358753,1961,4.0
1653671768.349139,1966,7.0
1653671786.0690923,1977,6.0
1653671789.1731982,1979,4.0
1653671802.5068257,1987,5.0
1653671949.9308815,2070,3.0
1653671965.7908762,2079,6.0
1653671982.242482,2089,4.0
1653672000.8225098,2100,4.0
1653672017.9430573,2109,4.0
1653672026.8292253,2114,6.0
1653672028.895473,2115,4.0
1653672035.7853796,2119,4.0
1653672036.963285,2120,5.0
1653672049.2294624,2127,6.0
1653672073.1361525,2139,4.0
1653672122.4644105,2169,6.0
1653672164.806201,2194,5.0
1653672189.0309079,2209,4.0
1653672198.5706613,2215,5.0
1653672238.0090766,2239,6.0
1653672245.5367846,2244,4.0
1653672305.2902982,2281,5.0
1653672344.9847934,2305,3.0
1653672364.24771,2316,6.0
1653672368.650736,2319,6.0
1653672390.8169336,2332,5.0
1653672408.6247618,2342,4.0
1653672438.164605,2359,5.0
1653672490.7526886,2389,5.0
1653672497.5924165,2393,5.0
1653672498.947131,2394,5.0
1653672573.1022935,2436,4.0
1653672582.6646492,2441,4.0
1653672605.5287926,2454,5.0
1653672619.1285937,2462,3.0
1653672624.6530368,2465,4.0
1653672660.6068642,2485,5.0
1653672673.9678187,2493,6.0
1653672683.0242474,2498,5.0
1653672691.761551,2503,4.0
1653672716.3029144,2517,5.0
1653672719.7778995,2519,6.0
1653672736.7497716,2528,5.0
1653672740.4961643,2530,5.0
1653672806.4520748,2566,4.0
1653672825.3686643,2577,4.0
1653672827.6571321,2578,4.0
1653672844.4198895,2588,4.0
1653672851.8430703,2592,4.0
1653672862.7446115,2599,4.0
1653672875.3109674,2606,4.0
1653672897.3393958,2619,6.0
1653672911.1915617,2627,6.0
1653672912.5082455,2628,5.0
1653672924.9400897,2635,5.0
1653672931.2986026,2639,4.0
1653672933.2755113,2640,5.0
1653672937.7597537,2643,4.0
1653672971.098007,2662,6.0
1653672984.895071,2670,3.0
1653672987.27083,2671,4.0
1653672992.3673096,2674,6.0
1653673005.5278883,2681,3.0
1653673011.5791376,2684,4.0
1653673015.5925698,2686,6.0
1653673022.5235367,2689,4.0
1653673032.1702292,2693,6.0
1653673052.4830437,2702,3.0
1653673064.8275275,2708,5.0
1653673075.5003,2713,5.0
1653673082.2264972,2717,4.0
1653673102.4556515,2729,4.0
1653673104.4907749,2730,6.0
1653673112.8809154,2734,3.0
1653673122.8861856,2739,3.0
1653673124.3696513,2740,5.0
1653673148.8450472,2753,4.0
1653673150.0114486,2754,5.0
1653673152.0426095,2755,5.0
1653673159.7549348,2760,3.0
1653673168.5740387,2765,4.0
1653673174.0332546,2768,6.0
1653673190.5734043,2778,4.0
1653673202.433093,2785,5.0
1653673253.8270545,2812,6.0
1653673291.334223,2834,5.0
1653673308.0929728,2844,7.0
1653673337.7649274,2861,4.0
1653673339.0345166,2862,5.0
1653673372.028378,2881,5.0
1653673437.8555484,2918,6.0
1653673442.7206404,2921,5.0
1653673466.044893,2934,7.0
1653673495.978976,2952,4.0
1653673501.532256,2955,6.0
1653673513.8115366,2962,6.0
