Wall_time,Episodes,Unit moves
1653598704.60516,0,0.0
1653598707.1474142,2,1.8585858345031738
1653598708.4180021,3,1.929292917251587
1653598709.6935515,4,1.9090908765792847
1653598717.2870827,10,1.9494949579238892
1653598718.509634,11,1.878787875175476
1653598722.2196019,14,1.9191919565200806
1653598723.4252493,15,2.0
1653598727.1839423,18,1.9090908765792847
1653598728.404328,19,1.8989899158477783
1653598729.4335647,20,1.9393939971923828
1653598732.0791087,22,2.0404040813446045
1653598733.4045553,23,1.8686869144439697
1653598737.0593207,26,1.8686869144439697
1653598738.3134935,27,1.9494949579238892
1653598740.7862132,29,1.7676767110824585
1653598745.7262783,33,1.9090908765792847
1653598746.953839,34,1.8888888359069824
1653598749.3878891,36,1.7474747896194458
1653598750.6109803,37,1.9090908765792847
1653598751.8956685,38,1.9797979593276978
1653598753.117558,39,1.9494949579238892
1653598754.220585,40,1.7676767110824585
1653598762.762063,47,2.010101079940796
1653598763.9941041,48,2.010101079940796
1653598765.1909134,49,1.8989899158477783
1653598766.4391906,50,1.7676767110824585
1653598767.6645148,51,1.8989899158477783
1653598768.8573642,52,1.9494949579238892
1653598771.3190475,54,1.9696969985961914
1653598772.550111,55,2.0404040813446045
1653598775.0125878,57,1.8686869144439697
1653598778.559283,60,1.8484848737716675
1653598779.7763097,61,1.9797979593276978
1653598780.9876177,62,1.929292917251587
1653598782.267567,63,1.8585858345031738
1653598784.689701,65,1.9191919565200806
1653598785.9611495,66,1.9595959186553955
1653598787.2131612,67,2.010101079940796
1653598788.4151196,68,2.0
1653598790.8820927,70,2.0505051612854004
1653598792.0909703,71,2.0
1653598794.537759,73,1.8181818723678589
1653598797.0054479,75,1.8888888359069824
1653598799.4259334,77,1.9595959186553955
1653598801.8938859,79,1.9191919565200806
1653598802.9004729,80,1.8989899158477783
1653598805.3298306,82,1.9090908765792847
1653598806.5705569,83,1.8989899158477783
1653598808.9743273,85,1.8484848737716675
1653598810.2131371,86,1.7878787517547607
1653598813.908109,89,1.929292917251587
1653598815.1829877,90,1.7979798316955566
1653598821.303423,95,1.8686869144439697
1653598826.2882414,99,1.8585858345031738
1653598827.3202116,100,1.7575757503509521
1653598830.975841,103,1.9696969985961914
1653598834.6960046,106,1.7777777910232544
1653598835.9221697,107,2.010101079940796
1653598838.3716486,109,1.7070707082748413
1653598839.600355,110,1.9090908765792847
1653598844.5615785,114,1.808080792427063
1653598846.9746099,116,1.7575757503509521
1653598852.9791224,121,1.7474747896194458
1653598857.951385,125,1.7171716690063477
1653598859.1903355,126,1.8181818723678589
1653598861.6459112,128,1.7777777910232544
1653598862.9122443,129,1.8282828330993652
1653598864.144993,130,1.7676767110824585
1653598865.3675785,131,1.8585858345031738
1653598866.5995853,132,1.7272727489471436
1653598868.9978013,134,1.8686869144439697
1653598871.4820323,136,1.5959595441818237
1653598872.722409,137,1.686868667602539
1653598879.8977003,143,1.7676767110824585
1653598881.177142,144,1.7474747896194458
1653598883.6285417,146,1.4343434572219849
1653598884.9041483,147,1.5858585834503174
1653598888.6998854,150,1.616161584854126
1653598897.3026545,157,1.2727272510528564
1653598899.753323,159,1.3939393758773804
1653598900.7685413,160,1.3636363744735718
1653598903.2445035,162,1.5151515007019043
1653598904.5524626,163,1.454545497894287
1653598905.780409,164,1.7676767110824585
1653598908.3210254,166,1.6262626647949219
1653598913.232812,170,1.494949460029602
1653598914.4518611,171,1.3939393758773804
1653598915.6681485,172,1.2222222089767456
1653598919.3659043,175,1.3535352945327759
1653598920.5842998,176,1.2323232889175415
1653598921.8455453,177,1.303030252456665
1653598923.0706742,178,1.3434343338012695
1653598925.313406,180,1.313131332397461
1653598926.5392125,181,1.191919207572937
1653598929.0034165,183,1.2222222089767456
1653598930.2342103,184,1.2222222089767456
1653598931.4486518,185,1.2525252103805542
1653598932.7262678,186,1.2525252103805542
1653598936.3728387,189,1.1111111640930176
1653598937.612252,190,1.0505050420761108
1653598938.8462696,191,1.0404040813446045
1653598940.08628,192,1.0202020406723022
