Wall time,Step,Value
1653771647.8516219,1102,20.0
1653771649.7588434,1104,-4.0
1653771654.0888937,1109,-28.0
1653771656.0136664,1111,-40.0
1653771663.4581003,1121,-56.0
1653771667.1807427,1125,2.0
1653771673.334934,1132,-94.0
1653771674.1994984,1134,-22.0
1653771684.528689,1146,80.0
1653771688.7347255,1151,-12.0
1653771689.1648514,1152,-34.0
1653771699.4227486,1164,4.0
1653771707.8851771,1174,78.0
1653771709.783507,1176,-36.0
1653771716.3358104,1184,-32.0
1653771723.3540022,1193,-46.0
1653771724.7716851,1194,110.0
1653771744.3395603,1218,24.0
1653771750.4555395,1225,-44.0
1653771767.8045988,1246,-152.0
1653771772.0224602,1251,-52.0
1653771772.4531476,1252,-26.0
1653771774.4317887,1254,2.0
1653771776.7454894,1257,42.0
1653771780.514841,1261,-92.0
1653771785.153259,1267,46.0
1653771787.9618924,1271,-72.0
1653771792.173794,1276,50.0
1653771810.8272488,1298,20.0
1653771817.3825603,1306,2.0
1653771830.5837655,1322,-30.0
1653771832.8750198,1325,24.0
1653771849.8969646,1345,-28.0
1653771862.717445,1360,-40.0
1653771865.4990318,1364,24.0
1653771875.3865767,1375,88.0
1653771875.8228366,1376,-8.0
1653771910.306294,1417,-12.0
1653771927.7657974,1438,4.0
1653771928.21151,1439,-40.0
1653771943.0198493,1457,32.0
1653771944.4786572,1458,-54.0
1653771957.6706412,1474,16.0
1653771959.5511146,1476,-16.0
1653771970.7606826,1490,-14.0
1653771974.4762232,1494,-4.0
1653771981.0933683,1502,44.0
1653771987.6002083,1510,-24.0
1653771989.9694462,1513,66.0
1653771992.2853189,1516,16.0
1653772002.7390652,1528,70.0
1653772011.1919012,1538,-96.0
1653772019.6602967,1548,-32.0
1653772021.9879391,1551,-12.0
1653772033.2823884,1565,60.0
1653772035.6250908,1568,-16.0
1653772039.9424672,1573,64.0
1653772042.272243,1576,-26.0
1653772050.19887,1585,2.0
1653772059.1396568,1596,-2.0
1653772063.373287,1601,-66.0
1653772065.234884,1603,14.0
1653772084.965135,1627,-54.0
1653772091.581324,1635,34.0
1653772093.5050414,1637,70.0
1653772121.3656466,1670,-8.0
1653772128.455332,1679,-52.0
1653772134.2030358,1685,50.0
1653772141.2151875,1694,48.0
1653772147.664779,1702,118.0
1653772149.6103551,1704,164.0
1653772151.9671407,1707,-52.0
1653772155.8047287,1711,100.0
1653772160.8465602,1718,80.0
1653772184.1068819,1745,-38.0
1653772208.5825942,1775,36.0
1653772210.464193,1777,40.0
1653772220.934744,1789,128.0
1653772223.322312,1792,224.0
1653772229.9312365,1800,66.0
1653772269.045507,1847,8.0
1653772272.8246255,1851,-124.0
1653772279.9168534,1860,-14.0
1653772284.1638844,1865,-2.0
1653772286.0809524,1867,32.0
1653772303.5909705,1888,20.0
1653772312.6976552,1899,-2.0
1653772315.0864406,1902,140.0
1653772320.8179135,1908,60.0
1653772321.2513926,1909,64.0
1653772333.94618,1924,56.0
1653772334.3837435,1925,86.0
1653772344.3718536,1936,-40.0
1653772347.1927354,1940,-10.0
1653772351.4326327,1945,46.0
1653772353.3472188,1947,86.0
1653772364.2408805,1960,6.0
1653772364.6782303,1961,96.0
1653772369.025764,1966,16.0
1653772378.047501,1977,86.0
1653772379.935977,1979,-2.0
1653772386.5889568,1987,36.0
1653772455.6659515,2070,-12.0
1653772463.5651762,2079,70.0
1653772471.9614582,2089,50.0
1653772480.7625906,2100,-32.0
1653772487.612861,2109,44.0
1653772491.7712197,2114,110.0
1653772493.225169,2115,98.0
1653772495.9301288,2119,66.0
1653772497.4366899,2120,-28.0
1653772502.4717615,2127,34.0
1653772512.7280858,2139,78.0
1653772537.6531422,2169,92.0
1653772557.556449,2194,28.0
1653772570.168979,2209,16.0
1653772574.7393332,2215,96.0
1653772595.2647502,2239,-4.0
1653772599.4795215,2244,110.0
1653772629.7973993,2281,22.0
1653772649.337954,2305,78.0
1653772659.203531,2316,40.0
1653772661.4869125,2319,182.0
1653772680.9541788,2342,86.0
1653772694.4187467,2359,82.0
1653772719.6108818,2389,20.0
1653772722.3132281,2393,208.0
1653772723.7586489,2394,-20.0
1653772758.1478183,2436,136.0
1653772762.306617,2441,132.0
1653772773.099649,2454,178.0
1653772779.6287336,2462,52.0
1653772781.9056516,2465,-34.0
1653772798.8706844,2485,84.0
1653772805.3745415,2493,136.0
1653772809.688761,2498,72.0
1653772813.856529,2503,82.0
1653772824.9590554,2517,134.0
1653772826.8547122,2519,20.0
1653772834.835082,2528,56.0
1653772835.6877117,2530,-62.0
1653772865.528338,2566,50.0
1653772874.377468,2577,4.0
1653772875.8268163,2578,-12.0
1653772884.1701202,2588,24.0
1653772886.9553173,2592,40.0
1653772893.1469123,2599,20.0
1653772899.2927175,2606,114.0
1653772909.983713,2619,82.0
1653772916.4593403,2627,48.0
1653772916.956211,2628,146.0
1653772923.0875585,2635,100.0
1653772925.8021748,2639,-12.0
1653772929.5688224,2643,116.0
1653772945.0235868,2662,38.0
1653772951.5334485,2670,88.0
1653772952.9603868,2671,62.0
1653772955.2732298,2674,114.0
1653772961.4411087,2681,52.0
1653772963.7027984,2684,88.0
1653772965.537443,2686,48.0
1653772967.8377795,2689,54.0
1653772970.5907235,2693,100.0
1653772978.6760466,2702,96.0
1653772983.3623397,2708,144.0
1653772987.5714843,2713,90.0
1653772991.424538,2717,106.0
1653773000.769917,2729,68.0
1653773002.218207,2730,8.0
1653773005.0329165,2734,54.0
1653773009.3415668,2739,42.0
1653773009.7924676,2740,26.0
1653773021.440026,2753,116.0
1653773021.8644083,2754,102.0
1653773022.3174925,2755,64.0
1653773026.5858257,2760,44.0
1653773030.7907114,2765,96.0
1653773033.1949418,2768,140.0
1653773042.432302,2778,90.0
1653773049.1547594,2785,40.0
1653773072.6847293,2812,48.0
1653773092.1596823,2834,66.0
1653773101.1826172,2844,94.0
1653773115.8037834,2861,112.0
1653773117.3948188,2862,120.0
1653773133.4238198,2881,58.0
1653773165.1198585,2918,90.0
1653773167.5589988,2921,102.0
1653773180.2408864,2934,156.0
1653773194.2764106,2952,74.0
1653773197.6664388,2955,44.0
1653773202.955324,2962,56.0
1653773206.5105186,2965,100.0
1653773213.1905954,2973,166.0
1653773223.9773922,2986,46.0
1653773231.3646002,2996,56.0
1653773250.6655552,3019,-30.0
1653773263.2771041,3034,8.0
1653773274.1644967,3047,-4.0
1653773303.9578304,3083,30.0
1653773305.399706,3084,88.0
1653773314.8441765,3096,32.0
1653773320.9997325,3103,118.0
1653773321.443706,3104,20.0
1653773322.905161,3105,54.0
1653773331.3317862,3115,94.0
1653773334.2029388,3119,68.0
1653773334.6484578,3120,160.0
1653773336.1435404,3121,38.0
1653773340.3772037,3126,28.0
1653773342.2172618,3128,96.0
1653773355.7603211,3145,16.0
1653773379.4483416,3173,50.0
1653773383.7064486,3178,148.0
1653773395.0259857,3192,30.0
1653773401.181914,3199,78.0
1653773405.462808,3204,142.0
1653773416.3876047,3217,82.0
1653773418.7550364,3220,114.0
1653773420.6920285,3222,92.0
1653773426.8568454,3229,50.0
1653773436.1510599,3241,52.0
1653773456.7646914,3265,72.0
1653773459.116652,3268,52.0
1653773490.2685423,3306,104.0
1653773519.8199205,3340,90.0
1653773533.1793063,3356,110.0
1653773540.2812264,3365,14.0
1653773548.4126172,3374,128.0
1653773552.6505315,3379,82.0
1653773556.870047,3384,54.0
1653773557.3175378,3385,66.0
1653773563.9879446,3393,78.0
1653773572.8822768,3404,120.0
1653773585.1785269,3418,60.0
1653773591.8385909,3426,28.0
1653773598.4225261,3434,24.0
1653773602.622858,3439,48.0
1653773620.3170915,3461,132.0
1653773626.43504,3468,90.0
1653773639.3564394,3483,24.0
1653773639.7926004,3484,192.0
1653773641.2021823,3485,88.0
1653773645.8524766,3491,90.0
1653773647.839178,3493,160.0
1653773652.9385378,3500,94.0
1653773674.655165,3526,124.0
1653773689.8517108,3544,18.0
1653773695.5534804,3550,76.0
1653773702.0620322,3558,78.0
