time,Episodes,Reward
1653870893.466845,4,4.122182846069336
1653870914.74687,18,4.686384677886963
1653870947.4501061,40,5.172098636627197
1653870958.3316658,47,5.561429023742676
1653870980.61641,62,5.532010555267334
1653870982.4454234,63,5.499915599822998
1653870994.166124,71,5.412420272827148
1653871002.8983352,77,5.4655256271362305
1653871010.6584308,82,5.380398273468018
1653871021.1790066,89,5.536499500274658
1653871041.7272806,103,5.531757831573486
1653871048.30053,107,5.652688980102539
1653871068.7566414,121,5.816519737243652
1653871079.321559,128,5.934496879577637
1653871082.3465078,130,5.859900951385498
1653871122.7508316,157,5.529486656188965
1653871127.5355096,160,5.581857204437256
1653871130.453249,162,5.6117024421691895
1653871133.4394996,164,5.585476875305176
1653871145.1090927,172,5.636849880218506
1653871174.1022077,191,5.599647521972656
1653871191.5711892,203,5.668406963348389
1653871194.5461817,205,5.8003435134887695
1653871230.4559073,229,6.053053379058838
1653871253.1834717,244,6.61031436920166
1653871255.0582037,245,6.656243324279785
1653871276.1777282,259,6.624786853790283
1653871293.7151797,271,6.874517917633057
1653871298.468505,274,6.962614059448242
1653871310.2222607,282,7.007120609283447
1653871314.969544,285,7.064023017883301
1653871329.6133342,295,7.17294454574585
1653871361.4662921,316,7.660200595855713
1653871366.2109911,319,7.509256362915039
1653871370.2230818,322,7.459944248199463
1653871406.3099616,346,7.433079719543457
1653871424.6778686,358,7.760681629180908
1653871433.4693334,364,7.822824478149414
1653871436.3618593,366,7.819774627685547
1653871454.8607166,378,8.040260314941406
1653871466.6770835,386,8.440459251403809
1653871472.5588834,390,8.532242774963379
1653871490.9166665,402,8.335372924804688
1653871510.368193,415,8.442749977111816
1653871521.0314636,422,8.743178367614746
1653871541.6455262,436,8.844636917114258
1653871543.4729264,437,8.739425659179688
1653871546.4512897,439,8.777649879455566
1653871557.2597456,446,8.937530517578125
1653871580.0352337,461,9.218147277832031
1653871585.9626098,465,9.283804893493652
1653871601.763306,475,9.47150993347168
1653871609.51721,480,9.644147872924805
1653871610.6302533,481,9.610052108764648
1653871619.638619,487,9.658968925476074
1653871655.396064,510,10.31955337524414
1653871658.3614194,512,10.402594566345215
1653871660.2630782,513,10.511662483215332
1653871666.325919,517,10.686775207519531
1653871691.0266259,533,10.759539604187012
1653871698.1723564,538,11.176061630249023
1653871701.1509433,540,11.19810962677002
1653871720.0443428,552,11.435630798339844
1653871726.1330862,556,11.443845748901367
1653871735.077825,562,11.656742095947266
1653871778.8364751,590,11.514355659484863
1653871784.8243048,594,11.528940200805664
1653871787.8285463,596,11.545370101928711
1653871837.2704947,628,11.228433609008789
1653871839.1303847,629,11.269360542297363
1653871851.3392804,637,11.320481300354004
1653871861.1440883,643,11.159370422363281
1653871862.3201227,644,11.152554512023926
1653871884.5423634,658,10.889777183532715
1653871898.6788063,667,11.091550827026367
1653871910.9643662,675,11.120516777038574
1653871941.4548388,694,10.9823637008667
1653871983.4440987,721,11.093334197998047
1653871990.2987144,725,11.208056449890137
1653872020.0944593,744,11.200244903564453
1653872052.0282319,764,11.3573579788208
1653872069.5007029,775,11.305248260498047
1653872070.669292,776,11.314390182495117
1653872080.9375439,782,11.410415649414062
1653872090.3518684,788,11.452239036560059
1653872116.6256654,804,11.253808975219727
1653872117.8144534,805,11.310760498046875
1653872120.9510841,807,11.322051048278809
1653872140.4588737,819,11.242557525634766
1653872161.171691,832,11.003231048583984
1653872201.578565,857,10.979968070983887
1653872215.9866626,866,11.09934139251709
1653872223.543507,871,11.152986526489258
1653872248.602473,886,11.138395309448242
1653872266.2366335,897,11.257247924804688
1653872272.5295918,901,11.23730182647705
1653872319.5683734,930,11.360919952392578
1653872338.545333,942,11.653159141540527
1653872350.0794866,949,11.621024131774902
1653872431.3111877,999,11.06110668182373
1653872436.4547167,1002,11.054802894592285
1653872439.6873744,1004,11.115781784057617
1653872457.6841033,1015,11.008964538574219
1653872469.221291,1022,11.085868835449219
1653872475.553664,1026,10.959457397460938
1653872478.7407763,1028,10.932015419006348
1653872493.4878175,1037,10.781817436218262
1653872525.2780566,1056,10.846456527709961
1653872547.6688306,1070,11.102255821228027
1653872549.6795268,1071,11.14632797241211
1653872552.959501,1073,11.127273559570312
1653872559.4005022,1077,11.05898666381836
1653872574.2860916,1086,10.984783172607422
1653872594.4873257,1098,10.813815116882324
1653872600.898002,1102,10.756814002990723
