time,Episodes,Invalid moves
1653025049.9917483,0,0.0
1653025056.692519,1,10.333333015441895
1653025065.5549319,2,11.0
1653025072.2507632,3,11.333333015441895
1653025082.375652,4,12.0
1653025089.937637,5,11.0
1653025103.10086,6,8.666666984558105
1653025110.255147,7,9.333333015441895
1653025120.6157062,8,15.0
1653025128.2141893,9,10.666666984558105
1653025139.4692125,10,10.666666984558105
1653025148.0888677,11,15.666666984558105
1653025158.627736,12,13.666666984558105
1653025165.3417737,13,11.666666984558105
1653025174.505271,14,9.0
1653025180.790573,15,12.333333015441895
1653025189.959136,16,15.666666984558105
1653025196.1596215,17,10.666666984558105
1653025205.33975,18,13.333333015441895
1653025211.570186,19,15.0
1653025218.0244222,20,11.666666984558105
1653025226.918272,21,8.333333015441895
1653025233.8704517,22,12.333333015441895
1653025243.1533477,23,13.0
1653025250.3022747,24,13.0
1653025259.3588362,25,11.666666984558105
1653025266.1526875,26,7.333333492279053
1653025275.8985848,27,4.666666507720947
1653025282.0313306,28,9.333333015441895
1653025291.1499722,29,10.0
1653025297.5602841,30,17.66666603088379
1653025307.2803347,31,13.333333015441895
1653025313.6600013,32,7.0
1653025324.159789,33,6.0
1653025330.865206,34,14.333333015441895
1653025339.9490519,35,9.0
1653025346.059736,36,7.333333492279053
1653025355.804421,37,8.0
1653025362.3739502,38,3.6666667461395264
1653025372.302529,39,13.0
1653025378.5155644,40,12.666666984558105
1653025385.5355697,41,12.0
1653025395.1046286,42,10.666666984558105
1653025401.968662,43,6.333333492279053
1653025411.0156672,44,8.666666984558105
1653025417.3190062,45,10.333333015441895
1653025427.1249988,46,7.333333492279053
1653025433.633215,47,3.3333332538604736
1653025443.4493558,48,9.333333015441895
1653025449.763034,49,8.666666984558105
1653025459.643649,50,8.333333015441895
1653025466.8533888,51,11.0
1653025476.127317,52,7.333333492279053
1653025482.305436,53,6.666666507720947
1653025491.528838,54,5.666666507720947
1653025498.3987987,55,7.0
1653025508.8157825,56,9.666666984558105
1653025516.0886948,57,7.0
1653025526.1174593,58,10.0
1653025532.3881414,59,9.0
1653025539.5491643,60,5.333333492279053
1653025549.9973068,61,8.666666984558105
1653025559.027432,62,11.666666984558105
1653025573.4167538,63,6.666666507720947
1653025580.0759144,64,11.0
1653025590.5266902,65,6.666666507720947
1653025597.6628146,66,8.0
1653025608.9735022,67,12.666666984558105
1653025616.1477392,68,10.666666984558105
1653025626.309721,69,7.0
1653025633.315581,70,10.0
1653025643.1227016,71,8.0
1653025649.7080643,72,10.666666984558105
1653025662.832753,73,18.0
1653025670.235365,74,8.0
1653025680.5621624,75,13.666666984558105
1653025687.537895,76,9.666666984558105
1653025698.3546636,77,19.0
1653025706.2693217,78,16.33333396911621
1653025718.045412,79,16.0
1653025725.1261175,80,17.0
1653025732.0802217,81,8.0
1653025742.449248,82,8.0
1653025748.969388,83,8.0
1653025758.8051379,84,10.0
1653025765.2428253,85,7.666666507720947
1653025775.9676256,86,13.666666984558105
1653025784.1732264,87,10.666666984558105
1653025796.3725114,88,19.0
1653025803.1887832,89,18.66666603088379
1653025813.779506,90,12.333333015441895
1653025820.5188944,91,13.666666984558105
1653025831.5282629,92,13.666666984558105
1653025838.6876886,93,7.666666507720947
1653025848.5998917,94,8.333333015441895
1653025855.6944976,95,10.333333015441895
1653025865.36774,96,9.0
1653025871.8973372,97,18.66666603088379
1653025881.2049818,98,8.666666984558105
1653025887.907491,99,15.666666984558105
1653025894.2030818,100,9.333333015441895
1653025903.9372716,101,7.333333492279053
1653025910.9372022,102,8.0
1653025920.8343017,103,7.0
1653025927.184267,104,6.0
1653025936.7501614,105,3.0
1653025943.4360108,106,9.333333015441895
1653025953.0181735,107,13.666666984558105
1653025961.3060918,108,7.333333492279053
1653025972.2275753,109,8.333333015441895
1653025979.5042043,110,15.0
1653025989.6707017,111,5.666666507720947
1653025996.390544,112,7.0
1653026005.911142,113,9.0
1653026012.4509509,114,11.333333015441895
1653026022.4372544,115,5.333333492279053
1653026029.43515,116,9.333333015441895
1653026040.8208623,117,5.666666507720947
1653026047.7025545,118,13.666666984558105
1653026057.378747,119,10.666666984558105
1653026063.7975767,120,11.666666984558105
1653026070.9938588,121,9.0
1653026081.3228843,122,8.0
1653026088.1301484,123,11.0
1653026101.112701,124,12.0
1653026108.8592556,125,10.333333015441895
1653026120.4777756,126,7.666666507720947
1653026128.7546759,127,9.333333015441895
1653026140.000205,128,9.666666984558105
1653026147.851785,129,12.0
1653026159.4992638,130,10.666666984558105
1653026166.711914,131,9.333333015441895
1653026178.6562152,132,10.666666984558105
1653026185.5598328,133,6.666666507720947
1653026195.4629905,134,13.666666984558105
1653026203.0083172,135,12.666666984558105
1653026213.1169782,136,8.0
1653026220.4490352,137,4.666666507720947
1653026231.1570845,138,23.33333396911621
1653026238.526967,139,24.33333396911621
1653026245.908337,140,22.66666603088379
1653026256.4787972,141,9.0
1653026263.154058,142,4.666666507720947
1653026273.032685,143,6.333333492279053
1653026279.7161803,144,6.666666507720947
1653026289.5157173,145,4.0
1653026296.1237724,146,13.333333015441895
1653026306.9733083,147,12.666666984558105
1653026314.3526623,148,8.0
1653026325.4592023,149,9.333333015441895
1653026332.7024503,150,8.333333015441895
1653026344.040684,151,14.0
1653026352.819418,152,11.666666984558105
1653026364.197035,153,7.0
1653026372.0503066,154,11.333333015441895
1653026383.5406213,155,6.333333492279053
1653026391.5845377,156,10.333333015441895
1653026402.9248796,157,16.0
1653026410.2465842,158,18.33333396911621
1653026432.9351022,159,3.3333332538604736
1653026441.6707103,160,0.6666666865348816
1653026450.631097,161,7.666666507720947
1653026464.1855175,162,16.33333396911621
1653026470.7260742,163,14.333333015441895
1653026481.3976734,164,27.33333396911621
1653026488.0986426,165,19.33333396911621
1653026499.4650996,166,28.33333396911621
1653026506.280718,167,27.66666603088379
1653026516.5154357,168,17.66666603088379
1653026524.1730332,169,29.0
1653026535.957765,170,29.0
1653026542.9113734,171,29.0
1653026553.4523668,172,29.0
1653026560.3982375,173,29.0
1653026570.7608786,174,29.0
1653026578.6161187,175,29.0
1653026588.5383027,176,29.0
1653026595.543401,177,29.0
1653026605.2988584,178,29.0
1653026612.2878752,179,29.0
1653026618.9430797,180,29.0
1653026629.006088,181,29.0
1653026636.0326912,182,29.0
1653026646.762467,183,29.0
1653026653.5487862,184,29.0
1653026664.1566138,185,29.0
1653026671.6551762,186,29.0
1653026681.6905603,187,28.66666603088379
1653026688.7137423,188,13.0
1653026698.6409695,189,17.66666603088379
1653026705.6386693,190,17.66666603088379
1653026715.7193706,191,12.666666984558105
1653026722.4565427,192,10.666666984558105
1653026732.6576092,193,8.0
1653026739.4996598,194,10.333333015441895
1653026749.8332596,195,12.0
1653026756.596939,196,12.333333015441895
1653026767.642846,197,8.333333015441895
1653026774.8991537,198,11.666666984558105
1653026785.3701031,199,10.333333015441895
1653026792.2254105,200,15.333333015441895
1653026798.9997602,201,12.666666984558105
1653026809.0256424,202,14.666666984558105
1653026815.8314078,203,4.666666507720947
1653026827.1101053,204,18.66666603088379
1653026834.056107,205,9.333333015441895
1653026845.0946708,206,15.333333015441895
1653026852.7767007,207,3.3333332538604736
1653026862.9056878,208,13.666666984558105
1653026869.8422685,209,6.666666507720947
1653026880.0011885,210,7.333333492279053
1653026887.5127137,211,4.333333492279053
1653026897.9999056,212,11.0
1653026904.696817,213,5.333333492279053
1653026915.0871403,214,13.666666984558105
1653026921.759296,215,10.333333015441895
1653026931.9978244,216,7.333333492279053
