Wall time,Step,Value
1654392115.2741663,495,9.0
1654392137.584745,1485,9.666666984558105
1654392139.7675166,1584,6.666666507720947
1654392146.418026,1881,8.0
1654392148.631132,1980,9.666666984558105
1654392164.3067613,2673,9.666666984558105
1654392166.565567,2772,11.0
1654392195.4919066,4059,7.666666507720947
1654392210.9258409,4752,7.0
1654392213.2380443,4851,8.0
1654392215.495944,4950,7.666666507720947
1654392244.5838327,6237,7.0
1654392246.7721949,6336,5.666666507720947
1654392253.4489446,6633,9.333333015441895
1654392255.6928608,6732,5.666666507720947
1654392262.3027167,7029,8.333333015441895
1654392264.5245237,7128,5.333333492279053
1654392277.840081,7722,6.333333492279053
1654392288.9235008,8217,8.666666984558105
1654392304.5397174,8910,8.0
1654392325.0312524,9900,6.333333492279053
1654392333.8549056,10296,7.666666507720947
1654392342.7962625,10692,7.333333492279053
1654392376.0873473,12078,8.0
1654392385.0853186,12474,7.0
1654392387.322645,12573,8.333333015441895
1654392393.4588535,12771,8.666666984558105
1654392398.5634673,12969,9.333333015441895
1654392412.1101055,13563,7.333333492279053
1654392429.999666,14355,7.666666507720947
1654392434.4465957,14553,6.0
1654392436.6508396,14652,6.666666507720947
1654392443.2901015,14949,6.333333492279053
1654392459.4765446,15642,7.0
1654392466.170976,15939,8.0
1654392470.6450255,16137,8.0
1654392475.1206055,16335,11.0
1654392493.064065,17127,8.333333015441895
1654392504.2308576,17622,7.0
1654392519.7838707,18315,9.0
1654392522.341914,18414,6.666666507720947
1654392536.6835256,19008,6.666666507720947
1654392538.9637034,19107,7.0
1654392561.7943132,20196,7.666666507720947
1654392566.266597,20394,6.333333492279053
1654392585.7275374,21186,8.333333015441895
1654392590.185537,21384,4.0
1654392610.292686,22275,14.0
1654392621.5339556,22770,6.0
1654392655.357829,24255,7.0
1654392657.5237765,24354,10.0
1654392686.6489844,25641,5.333333492279053
1654392688.8864894,25740,6.333333492279053
1654392717.3724904,26928,7.666666507720947
1654392724.0826435,27225,5.0
1654392742.0440123,28017,8.333333015441895
1654392748.7018273,28314,7.333333492279053
1654392756.8203602,28611,7.666666507720947
1654392761.2104378,28809,7.666666507720947
1654392772.4372525,29304,9.0
1654392776.8550313,29502,5.0
1654392779.0910163,29601,14.0
1654392799.571566,30591,5.333333492279053
1654392808.5065312,30987,8.0
1654392817.4499393,31383,9.666666984558105
1654392821.8905199,31581,9.666666984558105
1654392824.1175325,31680,8.0
1654392830.726756,31977,5.333333492279053
1654392882.0406425,34254,11.0
1654392884.7645967,34353,8.0
1654392912.362132,35541,10.333333015441895
1654392925.5438285,36135,9.666666984558105
1654392927.750548,36234,7.333333492279053
1654392929.961451,36333,8.666666984558105
1654392957.9905508,37521,6.666666507720947
1654392975.784184,38313,5.666666507720947
1654392984.6705694,38709,9.0
1654392989.0963318,38907,12.0
1654393000.1343055,39402,9.333333015441895
1654393009.443342,39897,7.666666507720947
1654393013.9635866,40095,3.3333332538604736
1654393038.5796747,41184,9.333333015441895
1654393052.0830011,41778,11.666666984558105
1654393054.3444276,41877,14.0
1654393089.1857374,43263,7.666666507720947
1654393091.4655964,43362,10.333333015441895
1654393095.8794885,43560,7.0
1654393111.4729795,44253,8.666666984558105
1654393126.1192312,44847,10.333333015441895
1654393135.275684,45243,9.666666984558105
1654393146.4758956,45738,9.0
1654393155.3541133,46134,8.333333015441895
1654393162.0089211,46431,6.333333492279053
1654393166.4736934,46629,7.0
1654393175.443008,47025,9.333333015441895
1654393177.6700094,47124,9.0
1654393188.8011904,47619,7.333333492279053
1654393191.0005715,47718,7.0
1654393204.373975,48312,8.0
1654393255.1764417,50589,14.333333015441895
1654393259.8408134,50787,8.666666984558105
1654393262.108849,50886,8.333333015441895
1654393264.3505905,50985,8.0
1654393271.1810987,51282,7.333333492279053
1654393275.6580343,51480,9.0
1654393308.5226786,52866,8.0
1654393310.714382,52965,8.333333015441895
1654393315.1996841,53163,11.666666984558105
1654393319.6900208,53361,3.6666667461395264
1654393324.1597128,53559,7.333333492279053
1654393333.1033063,53955,6.0
1654393337.5231576,54153,7.333333492279053
1654393346.4009178,54549,3.6666667461395264
1654393350.8515077,54747,6.333333492279053
1654393359.863087,55143,6.0
1654393373.3196585,55737,7.666666507720947
1654393377.7670062,55935,9.333333015441895
1654393386.7107477,56331,8.333333015441895
1654393423.1124687,57915,5.333333492279053
1654393425.9753308,58014,6.333333492279053
1654393432.6650755,58311,6.0
1654393437.3247995,58509,3.6666667461395264
1654393446.2599087,58905,7.0
1654393450.8183434,59103,3.3333332538604736
1654393488.554018,60786,6.666666507720947
1654393490.8438258,60885,6.666666507720947
1654393508.8315048,61677,7.333333492279053
1654393511.0530403,61776,4.333333492279053
1654393522.2707841,62271,13.0
1654393524.5258572,62370,4.333333492279053
1654393533.4442108,62766,8.0
1654393542.4741929,63162,4.333333492279053
1654393555.8919182,63756,8.0
1654393558.1258016,63855,8.333333015441895
1654393569.3879657,64350,6.333333492279053
1654393573.8876188,64548,9.333333015441895
1654393589.695104,65241,9.0
1654393594.1511796,65439,7.333333492279053
1654393610.9665136,66132,9.333333015441895
1654393629.2163296,66924,4.333333492279053
1654393631.4376256,67023,7.666666507720947
1654393649.344321,67815,7.0
1654393668.6155915,68607,7.333333492279053
1654393673.2600298,68805,5.0
1654393708.1175375,70389,9.0
1654393732.8815336,71478,7.333333492279053
1654393737.331998,71676,7.333333492279053
1654393741.7841144,71874,5.0
1654393744.0290868,71973,6.333333492279053
1654393748.49488,72171,9.333333015441895
1654393750.7221296,72270,9.0
1654393755.2255332,72468,6.0
1654393757.4467099,72567,7.333333492279053
1654393759.6878219,72666,5.666666507720947
1654393770.9286556,73161,5.0
