time,Step,Reward
1653313599.4570327,397,3.9656598567962646
1653313599.7827804,496,3.237999439239502
1653313602.059516,1090,2.921605110168457
1653313603.7687201,1486,3.7199480533599854
1653313604.1611488,1585,3.6125941276550293
1653313605.463713,1882,4.215049743652344
1653313605.8668501,1981,4.39467191696167
1653313606.2819092,2080,4.373531818389893
1653313607.1325512,2278,4.202813625335693
1653313607.4872718,2377,4.1978983879089355
1653313608.5357666,2674,4.623463153839111
1653313608.9352412,2773,4.837574005126953
1653313613.5622246,3862,4.8094892501831055
1653313614.3902884,4060,4.77749490737915
1653313617.06826,4753,4.756360054016113
1653313617.4717026,4852,4.8149871826171875
1653313617.8401482,4951,4.945633411407471
1653313618.5412319,5149,5.078103542327881
1653313619.552991,5446,4.935197830200195
1653313620.7698996,5743,5.050864219665527
1653313622.0247283,6040,4.910478115081787
1653313622.4297748,6139,4.911103248596191
1653313622.8604555,6238,4.833171844482422
1653313623.2984118,6337,4.793973922729492
1653313624.1263003,6535,4.8285651206970215
1653313624.5309384,6634,4.837873458862305
1653313624.9354286,6733,4.877908706665039
1653313625.3412285,6832,4.852750301361084
1653313626.145541,7030,4.926394939422607
1653313626.5356045,7129,4.925178050994873
1653313628.7442203,7723,4.965439796447754
1653313629.5677545,7921,4.913508892059326
1653313630.6905034,8218,4.900420188903809
1653313631.802573,8515,4.95260763168335
1653313633.2722704,8911,5.045858860015869
1653313636.6185791,9901,5.242528438568115
1653313640.7247064,10297,5.226853847503662
1653313644.4967878,10594,5.524284839630127
1653313645.7371683,10693,5.595098495483398
1653313648.3021429,10891,5.612374782562256
1653313657.3889198,11584,5.774473190307617
1653313663.8613486,12079,5.834973335266113
1653313669.0142329,12475,5.895789623260498
1653313670.276367,12574,5.909300327301025
1653313672.7497857,12772,5.9647369384765625
1653313675.250638,12970,5.856046199798584
1653313682.8510196,13564,6.15786600112915
1653313684.0928435,13663,6.241231441497803
1653313692.843529,14356,6.506444454193115
1653313695.3694854,14554,6.602711200714111
1653313696.6371071,14653,6.611062526702881
1653313700.492434,14950,6.552097797393799
1653313709.3334112,15643,6.767490386962891
1653313713.1191318,15940,6.986654758453369
1653313715.5764759,16138,7.122015953063965
1653313718.0848823,16336,7.229686737060547
1653313725.6069639,16930,7.419880390167236
1653313726.8445158,17029,7.513474464416504
1653313728.107337,17128,7.59190034866333
1653313734.503611,17623,8.07109260559082
1653313739.5903149,18019,8.23032283782959
1653313743.4143224,18316,8.340209007263184
1653313744.6717708,18415,8.359138488769531
1653313745.9556088,18514,8.385087966918945
1653313751.102077,18910,8.582693099975586
1653313752.3919325,19009,8.660300254821777
1653313753.6520283,19108,8.736336708068848
1653313762.6002984,19801,9.071208000183105
1653313766.2510538,20098,9.32392692565918
1653313767.52093,20197,9.474200248718262
1653313768.8398983,20296,9.482409477233887
1653313770.110595,20395,9.50546646118164
1653313772.7366586,20593,9.405367851257324
1653313777.8162885,20989,9.531953811645508
1653313780.3581827,21187,9.59681510925293
1653313782.9038076,21385,9.681550025939941
1653313788.003712,21781,9.848128318786621
1653313789.274923,21880,9.812990188598633
1653313790.5310636,21979,9.832803726196289
1653313794.386321,22276,9.991825103759766
1653313800.7182333,22771,10.167790412902832
1653313813.477777,23761,10.520297050476074
1653313819.8618484,24256,10.925174713134766
1653313821.1205118,24355,11.067533493041992
1653313822.4000907,24454,11.104228973388672
1653313832.4577332,25246,11.61882209777832
1653313837.6173334,25642,11.904044151306152
1653313838.896097,25741,11.940320014953613
1653313840.1629808,25840,12.06839656829834
1653313854.1088593,26929,12.50061321258545
1653313857.900324,27226,12.355485916137695
1653313860.3957355,27424,12.33366584777832
1653313862.914896,27622,12.496530532836914
1653313865.418599,27820,12.632834434509277
1653313867.946551,28018,12.800414085388184
1653313871.7733436,28315,13.004022598266602
1653313875.6067774,28612,13.145679473876953
1653313878.1238494,28810,13.21226978302002
1653313884.513186,29305,13.182735443115234
1653313887.1012268,29503,13.208662986755371
1653313888.3541536,29602,13.222014427185059
1653313898.4431362,30394,13.508951187133789
1653313900.9559052,30592,13.712401390075684
1653313906.038441,30988,13.925636291503906
1653313911.0750034,31384,14.091150283813477
1653313913.6549418,31582,14.206489562988281
1653313914.9314363,31681,14.153820037841797
1653313918.7395062,31978,14.30366039276123
1653313937.8997753,33463,15.080355644226074
1653313939.1671658,33562,15.175745010375977
1653313945.5491168,34057,15.416215896606445
1653313948.1028004,34255,15.446925163269043
1653313949.3711624,34354,15.481487274169922
1653313957.0443132,34948,15.598793029785156
1653313959.5950897,35146,15.591509819030762
1653313964.6990204,35542,15.620433807373047
1653313969.747163,35938,15.749074935913086
1653313971.0007942,36037,15.847329139709473
1653313972.2970378,36136,15.868324279785156
1653313973.597278,36235,15.943458557128906
1653313974.8864727,36334,15.975517272949219
1653313976.1926248,36433,16.036205291748047
1653313990.237658,37522,16.503986358642578
1653314000.455611,38314,16.556133270263672
1653314005.5578365,38710,16.688579559326172
1653314008.1479049,38908,16.763835906982422
1653314010.6787524,39106,16.84849739074707
1653314014.5165203,39403,17.028018951416016
1653314020.7301285,39898,17.18714141845703
1653314023.2974732,40096,17.212562561035156
1653314029.7046795,40591,17.341951370239258
1653314036.12612,41086,17.715288162231445
1653314037.4007576,41185,17.812503814697266
1653314045.1220024,41779,18.043989181518555
1653314046.4229898,41878,18.099773406982422
1653314050.299291,42175,18.221513748168945
1653314051.5956342,42274,18.260038375854492
1653314056.6996229,42670,18.31052589416504
1653314063.1134899,43165,18.434228897094727
1653314064.3949142,43264,18.34760093688965
